nome,votos
ANTONIA LUCILEIA CRUZ RAMOS CAMARA,19112.964186570403
DEODATO NUNES DE FRANÇA,2860.3026197539357
EDSON FIRMINO DE PAULA,740.984196121884
ELISABETH APARECIDA GARCIA RODRIGUES,703.1262248743778
FLAVIANO FLAVIO BAPTISTA DE MELO,24566.8206401832
FRANCISCO ALVES VIEIRA,2040.1669008152444
FRANCISCO CARLOS DE OLIVEIRA DE LIMA,1784.6453943853946
FRANCISCO JOSE BENICIO DIAS,1214.2719653919244
JOSE ALVES DE MORAES,771.8696222584445
MARCIO MIGUEL BITTAR,34260.773911269054
MARIA DA ROCHA SEVERO,355.02810795105535
MAURICIO DINIZ LIMA,597.7674682496363
MIGUEL ARCANJO DE SOUZA CARNEIRO,911.5153858168994
RAIMUNDO NONATO DE CASTRO,2709.70557238921
SOLANGE MARIA PINHO PASCOAL,6233.593497240512
UAGLA BELMONT ALVES,1545.27298574428
EDILBERTO AFONSO DE MORAES JUNIOR,7812.627721174937
FERNANDO MELO DA COSTA,16391.360321351473
GEHLEN DINIZ ANDRADE,3386.716755261418
GILSON GOMES DE OLIVEIRA,3159.6354527972185
GLADSON DE LIMA CAMELI,56355.08726799239
HAROLDO ONOFRE DE ANDRADE E SILVA,3246.71121409599
HENRIQUE AFONSO SOARES LIMA,24697.427638430552
IDESIO LUIS FRANKE,14866.160116206762
JAIRO CASSIANO BARBOSA,6593.793462899931
LEONARDO CUNHA DE BRITO,24632.1913930581
MARCOS ANTONIO SILVA TORRES,4800.293278410585
MARIA PERPETUA DE ALMEIDA,33233.22063773511
MARIA ZILA FROTA BEZERRA DE OLIVEIRA,5477.136232064498
MARIUSA DE CARVALHO,3730.69228537016
SEBASTIAO SIBA MACHADO OLIVEIRA,32194.786615773395
SIDNEY DIAS DE OLIVEIRA,3834.285007121018
TAUMATURGO LIMA CORDEIRO,40488.939441409195
VALDEMIR JANUARIO DE ALMEIDA,4509.388731840758
ALEXANDRE FLEMING VASQUES BASTOS,2383.327459590332
FRANCISCO DE ASSIS MELO LIMA,657.3548320038485
LUCIA DE FATIMA MORAIS MARQUES,476.2147534534291
MARIA DAS GRACAS OLIVEIRA DE SOUZA,1439.8670902420845
WELLINGTON DA SILVA,655.5933308940378
YURI PATRICE ROCHA DE MIRANDA,4034.32229647034
ADA MERCEDES DE MELLO MARQUES LUZ,2792.79152405851
ANTONIO CARLOS RAMOS,42120.30554321322
CELIA MARIA BARBOSA ROCHA,189566.47656759273
DAMASCO SILVA MEDEIROS,1850.5848293296774
GENALDO GAMA DOS SANTOS,1197.1382599846513
JAFET RODRIGUES DOS SANTOS,1467.3545524666627
JOSEFA AMORIM DE BARROS,1651.3004407649903
JOSENILDO TENORIO DA SILVA,1155.1376609372223
JOSÉ FRANCISCO CERQUEIRA TENÓRIO,36261.976565878096
JOSÉ JOAQUIM BARROS VIEIRA SANDES,3566.6078450324335
JOSÉ MARINHO MUNIZ FALCÃO,5514.670256945119
JOÃO JOSÉ PEREIRA DE LYRA,117974.98975894933
JOÃO MENDES DA SILVA,3088.385944813485
JOÃO SERGIO OLIVEIRA PEREIRA,1266.1996187442237
RICARDO GOMES LOURENÇO,1460.433828799494
CLAUDIA ANICETO CAETANO PETUBA,6908.298171813665
ELIAS BARROS DIAS,1163.9338268419292
GILBERTO COUTINHO FREIRE,15647.415232125702
JOAQUIM BELTRÃO SIQUEIRA,88433.74658275905
JOSÉ JADSON ALVES DE MELO,1875.4355281973378
JOSÉ PINTO DE LUNA,17709.499975378574
JOSÉ RENAN VASCONCELOS CALHEIROS FILHO,146490.7094078808
MAURÍCIO QUINTELLA MALTA LESSA,55659.67892194803
PAULO FERNANDO DOS SANTOS,54818.29927656345
WELLINGTON RODRIGUES FRAGOSO,9165.560207582981
ALEXANDRE DE MELO TOLEDO,89433.23209391197
ARTHUR CESAR PEREIRA DE LIRA,70443.56220132718
FERNANDO JOSE REZENDE DE BARROS,6426.322807552326
HENRIQUETA EVA CARDEAL,4072.099106128512
JOSE ROBSON ALVES DA SILVA,681.7734837222715
ARANILDO DE VASCONCELOS ELISIÁRIO,1958.6570801951852
GIVALDO DE SÁ GOUVEIA,90244.432883549
JURANDIR BOIA ROCHA,22779.09334611048
RUI SOARES PALMEIRA,154153.05323859863
JOÃO CALDAS DA SILVA,35274.346603572354
JAMISON RODRIGUES DA SILVA,4629.367947493229
IVAN GALDINO DA SILVA,3794.345315276359
FABIO RANGEL NUNES DE OLIVEIRA,4196.115424345894
JORGE VI LAMENHA LINS,24909.48913998619
MARCIO FERNANDO LESSA MAGALHÃES,4131.374581695882
ROSEANE CAVALCANTE DE FREITAS,59188.53005789215
JOSÉ ALMIR BRITO DOS SANTOS,600.3833030185152
ANTONIO CARLOS DINIZ,2270.8048711013016
ELCIO JOSE DE SOUZA FERREIRA,403.52160518494094
EVANDRO COSTA GAMA,8955.75977113139
JANETE MARIA GOES CAPIBERIBE,13582.991683472581
JOEVA DOS REIS SILVA,457.19829776949894
MARCIVANIA DO SOCORRO DA ROCHA FLEXA,11750.193746990142
MARIA DALVA DE SOUZA FIGUEIREDO,12212.911776981391
ALUIZO ROBERTO CAVALCANTE DA SILVA,1665.5645898011214
BARAQUE FAGUNDES DA SILVA,1225.3667781078111
CONCEIÇÃO CORREA MEDEIROS,6819.649597636726
DAVID SAMUEL ALCOLUMBRE TOBELEM,7877.143704817672
EDVALDO DE AZEVEDO SOUZA,1482.99687266166
EVANDRO COSTA MILHOMEM,13016.011730962162
GIOVANNI TAVARES MACIEL FILHO,4587.156620745391
HILDEMAR SOUZA DE AZEVEDO PICANÇO,4013.400051345966
JUCERGIO MONTEIRO BENATHAR,1313.091648409027
LUCIANO DOS SANTOS CARVALHO,3928.2277080740287
LUIZ ANTONIO FERREIRA MARANHÃO,1458.731548438268
LUZIA BRITO GRUNHO,5635.882019932624
MANOEL CARVALHO,1174.7863536909467
